timestamp,severity,alert_type,user_id,ip,method,route,status_code,response_time_ms,event_type,risk_score,reason,recommendation
2026-05-25 15:23:52,critical,brute_force_attempt,user_019,10.0.0.15,POST,/dashboard/admin,401,1727.0,login_failed,12,Se detectaron múltiples intentos fallidos de login desde la misma IP.,"Revisar la IP sospechosa, aplicar bloqueo temporal y validar posibles intentos de fuerza bruta."
2026-05-25 15:23:52,warning,medium_risk_score,user_019,10.0.0.15,POST,/dashboard/admin,401,1727.0,login_failed,12,El log presenta un puntaje de riesgo medio.,Monitorear el evento y revisar si se repite en el tiempo.
2026-05-25 15:29:42,critical,repeated_unauthorized_access,user_042,192.168.1.10,GET,/,403,1029.0,unauthorized_access,7,Se detectaron múltiples intentos de acceso no autorizado desde la misma IP.,Bloquear o limitar temporalmente la IP y revisar posibles rutas expuestas.
2026-05-25 16:20:36,critical,brute_force_attempt,user_091,45.90.130.77,POST,/api/orders,401,1779.0,login_failed,12,Se detectaron múltiples intentos fallidos de login desde la misma IP.,"Revisar la IP sospechosa, aplicar bloqueo temporal y validar posibles intentos de fuerza bruta."
2026-05-25 16:20:36,warning,medium_risk_score,user_091,45.90.130.77,POST,/api/orders,401,1779.0,login_failed,12,El log presenta un puntaje de riesgo medio.,Monitorear el evento y revisar si se repite en el tiempo.
2026-05-25 16:27:37,critical,repeated_unauthorized_access,user_099,192.168.1.12,GET,/api/students,403,1652.0,unauthorized_access,7,Se detectaron múltiples intentos de acceso no autorizado desde la misma IP.,Bloquear o limitar temporalmente la IP y revisar posibles rutas expuestas.
2026-05-25 17:38:43,warning,medium_risk_score,user_084,190.12.45.12,POST,/api/database,401,1519.0,login_failed,12,El log presenta un puntaje de riesgo medio.,Monitorear el evento y revisar si se repite en el tiempo.
2026-05-25 17:52:23,critical,critical_route_server_error,user_054,10.0.0.15,GET,/api/payments,500,7927.0,server_error,26,Se detectó un error 5xx en una ruta crítica del sistema.,"Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
2026-05-25 17:52:23,critical,critical_route_very_slow,user_054,10.0.0.15,GET,/api/payments,500,7927.0,server_error,26,Una ruta crítica presenta tiempo de respuesta muy alto.,"Revisar rendimiento del endpoint, consultas a base de datos y servicios externos."
2026-05-25 17:52:23,critical,high_risk_score,user_054,10.0.0.15,GET,/api/payments,500,7927.0,server_error,26,El log presenta un puntaje de riesgo alto según múltiples señales combinadas.,Revisar el evento de forma prioritaria y validar si corresponde a un incidente activo.
2026-05-25 17:54:48,critical,brute_force_attempt,user_022,190.12.45.11,POST,/api/orders,401,1688.0,login_failed,12,Se detectaron múltiples intentos fallidos de login desde la misma IP.,"Revisar la IP sospechosa, aplicar bloqueo temporal y validar posibles intentos de fuerza bruta."
2026-05-25 17:54:48,warning,medium_risk_score,user_022,190.12.45.11,POST,/api/orders,401,1688.0,login_failed,12,El log presenta un puntaje de riesgo medio.,Monitorear el evento y revisar si se repite en el tiempo.
2026-05-25 17:58:11,warning,medium_risk_score,user_010,10.0.0.16,POST,/dashboard/admin,422,1917.0,validation_error,11,El log presenta un puntaje de riesgo medio.,Monitorear el evento y revisar si se repite en el tiempo.
2026-05-25 18:34:34,warning,unauthorized_admin_access,user_084,192.168.1.11,GET,/dashboard/admin,403,1614.0,unauthorized_access,9,Se detectó un intento de acceso no autorizado al panel administrativo.,"Revisar permisos del usuario, validar sesión y monitorear la IP de origen."
2026-05-25 18:37:27,warning,unauthorized_admin_access,user_120,200.48.10.5,GET,/dashboard/admin,403,1592.0,unauthorized_access,9,Se detectó un intento de acceso no autorizado al panel administrativo.,"Revisar permisos del usuario, validar sesión y monitorear la IP de origen."
2026-05-25 20:44:52,critical,critical_route_server_error,user_036,10.0.0.15,POST,/api/admin/users,500,4068.0,enrollment_failed,23,Se detectó un error 5xx en una ruta crítica del sistema.,"Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
2026-05-25 20:44:52,warning,slow_response,user_036,10.0.0.15,POST,/api/admin/users,500,4068.0,enrollment_failed,23,Se detectó una respuesta lenta del servidor.,Monitorear el endpoint y revisar si el tiempo de respuesta aumenta o se repite.
2026-05-25 20:44:52,critical,high_risk_score,user_036,10.0.0.15,POST,/api/admin/users,500,4068.0,enrollment_failed,23,El log presenta un puntaje de riesgo alto según múltiples señales combinadas.,Revisar el evento de forma prioritaria y validar si corresponde a un incidente activo.
2026-05-25 21:12:06,critical,critical_route_server_error,user_032,192.168.1.11,GET,/api/admin/users,503,5232.0,database_timeout,22,Se detectó un error 5xx en una ruta crítica del sistema.,"Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
2026-05-25 21:12:06,critical,database_timeout,user_032,192.168.1.11,GET,/api/admin/users,503,5232.0,database_timeout,22,Se detectó un timeout de base de datos.,"Revisar conexión a base de datos, carga del servidor, consultas lentas e índices."
2026-05-25 21:12:06,critical,critical_route_very_slow,user_032,192.168.1.11,GET,/api/admin/users,503,5232.0,database_timeout,22,Una ruta crítica presenta tiempo de respuesta muy alto.,"Revisar rendimiento del endpoint, consultas a base de datos y servicios externos."
2026-05-25 21:12:06,critical,high_risk_score,user_032,192.168.1.11,GET,/api/admin/users,503,5232.0,database_timeout,22,El log presenta un puntaje de riesgo alto según múltiples señales combinadas.,Revisar el evento de forma prioritaria y validar si corresponde a un incidente activo.
2026-05-25 21:19:41,critical,critical_route_server_error,user_065,190.12.45.12,POST,/api/payments,500,5503.0,payment_failed,25,Se detectó un error 5xx en una ruta crítica del sistema.,"Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
2026-05-25 21:19:41,critical,payment_failure_outage,user_065,190.12.45.12,POST,/api/payments,500,5503.0,payment_failed,25,Se detectaron pagos fallidos repetidos en una ruta de pagos.,"Revisar integración con la pasarela de pagos, credenciales, webhooks y disponibilidad del servicio."
2026-05-25 21:19:41,critical,critical_route_very_slow,user_065,190.12.45.12,POST,/api/payments,500,5503.0,payment_failed,25,Una ruta crítica presenta tiempo de respuesta muy alto.,"Revisar rendimiento del endpoint, consultas a base de datos y servicios externos."
2026-05-25 21:19:41,critical,high_risk_score,user_065,190.12.45.12,POST,/api/payments,500,5503.0,payment_failed,25,El log presenta un puntaje de riesgo alto según múltiples señales combinadas.,Revisar el evento de forma prioritaria y validar si corresponde a un incidente activo.
